SessionId,ItemId,Time
0,1,142646400
0,2,145152000
0,3,147744000
0,6,208731081
0,7,208731081
1,1,142646400
1,2,145152000
1,3,147744000
1,6,208731081
1,7,208731081
2,2,118195200
2,3,144806400
2,10,211564800
2,10,211572000
2,4,218419200
2,5,221097600
3,1,76464000
3,6,208223210
3,7,208223210
3,10,216421200
4,1,76464000
4,6,208223210
4,7,208223210
4,10,216421200
5,1,140227200
5,2,148089600
5,3,150508800
5,7,217612427
6,2,145411200
6,3,147916800
6,7,208731634
6,6,208731634
7,2,145411200
7,3,147916800
7,7,208731634
7,6,208731634
8,2,145411200
8,3,147916800
8,6,208731634
8,7,208731634
9,2,145411200
9,3,147916800
9,6,208731634
9,7,208731634
10,2,145411200
10,3,147916800
10,6,208731634
10,7,208731634
11,2,145411200
11,3,147916800
11,6,208731634
11,7,208731634
12,2,145411200
12,3,147916800
12,6,208731634
12,7,208731634
13,2,145411200
13,3,147916800
13,6,208731634
13,7,208731634
14,2,145411200
14,3,147916800
14,6,208731634
14,7,208731634
15,2,145411200
15,3,147916800
15,6,208731634
15,7,208731634
16,2,145411200
16,3,147916800
16,6,208731634
16,7,208731634
17,2,145411200
17,3,147916800
17,7,208731634
17,6,208731634
18,2,145411200
18,3,147916800
18,6,208731634
18,7,208731634
19,2,145411200
19,3,147916800
19,6,208731634
19,7,208731634
20,2,145411200
20,3,147916800
20,7,208731634
20,6,208731634
21,2,145411200
21,3,147916800
21,7,208731634
21,6,208731634
22,6,209306658
22,9,220647936
22,9,222205918
22,9,223065637
22,9,225916884
23,6,209306658
23,9,220647936
23,9,222205918
23,9,223065637
23,9,225916884
24,6,209306658
24,9,220647936
24,9,222205918
24,9,223065637
24,9,225916884
25,6,209306658
25,9,220647936
25,9,222205918
25,9,223065637
25,9,225916884
26,6,209306658
26,9,220647936
26,9,222205918
26,9,223065637
26,9,225916884
27,6,209306658
27,9,220647936
27,9,222205918
27,9,223065637
27,9,225916884
28,6,209306658
28,9,220647936
28,9,222205918
28,9,223065637
28,9,225916884
29,6,209306658
29,9,220647936
29,9,222205918
29,9,223065637
29,9,225916884
30,2,216604800
30,4,221788800
30,5,226886400
30,3,226886400
31,2,84758400
31,3,92361600
31,7,210077480
31,6,210077480
32,2,125625600
32,3,128044800
32,7,206673616
32,6,206673616
33,2,125625600
33,3,128044800
33,6,206673616
33,7,206673616
34,2,159753600
34,3,159840000
34,6,208612213
34,7,208612213
35,2,110764800
35,3,140227200
35,4,221788800
35,5,223257600
36,2,196473600
36,3,202867200
36,7,208553496
36,6,208553496
37,2,196473600
37,3,202867200
37,7,208553496
37,6,208553496
38,2,196473600
38,3,202867200
38,7,208553496
38,6,208553496
39,2,170640000
39,3,174441600
39,7,208817463
39,6,208817463
40,2,170640000
40,3,174441600
40,7,208817463
40,6,208817463
41,2,170640000
41,3,174441600
41,7,208817463
41,6,208817463
42,10,196848000
42,10,196869600
42,10,210412800
42,10,210420000
42,10,210423600
42,10,210427200
43,2,177897600
43,3,192499200
43,7,208826292
43,6,208826292
44,2,193449600
44,7,208601942
44,6,208601942
44,3,212371200
45,2,203904000
45,3,223603200
45,4,223603200
45,5,226886400
46,10,211536000
46,10,211539600
46,10,211546800
46,10,211564800
47,2,155520000
47,3,203472000
47,6,209112909
47,7,209112909
48,2,96854400
48,3,103852800
48,6,201129150
48,7,201129150
49,1,116553600
49,7,208459534
49,6,208459534
49,2,226022400
50,2,105580800
50,3,135216000
50,7,205873172
50,6,205873172
51,2,105580800
51,3,135216000
51,7,205873172
51,6,205873172
52,2,105580800
52,3,135216000
52,7,205873172
52,6,205873172
53,2,105580800
53,3,135216000
53,7,205873172
53,6,205873172
54,2,105580800
54,3,135216000
54,6,205873172
54,7,205873172
55,2,105580800
55,3,135216000
55,6,205873172
55,7,205873172
56,2,105580800
56,3,135216000
56,6,205873172
56,7,205873172
57,2,105580800
57,3,135216000
57,7,205873172
57,6,205873172
58,2,105580800
58,3,135216000
58,7,205873172
58,6,205873172
59,2,105580800
59,3,135216000
59,7,205873172
59,6,205873172
60,2,105580800
60,3,135216000
60,6,205873172
60,7,205873172
61,2,105580800
61,3,135216000
61,6,205873172
61,7,205873172
62,2,105580800
62,3,135216000
62,6,205873172
62,7,205873172
63,2,105580800
63,3,135216000
63,7,205873172
63,6,205873172
64,2,146534400
64,3,148176000
64,7,208791284
64,6,208791284
65,2,154051200
65,3,188179200
65,6,208644072
65,7,208644072
66,2,154051200
66,3,188179200
66,7,208644072
66,6,208644072
67,2,154051200
67,3,188179200
67,7,208644072
67,6,208644072
68,2,154051200
68,3,188179200
68,7,208644072
68,6,208644072
69,1,64800000
69,2,138499200
69,7,208648320
69,6,208648320
70,2,86918400
70,3,89078400
70,7,208652205
70,6,208652205
71,2,114048000
71,3,146620800
71,7,217076603
71,6,217076603
71,4,225936000
72,2,114048000
72,3,146620800
72,6,217076603
72,7,217076603
72,4,225936000
73,2,159494400
73,1,160012800
73,3,178675200
73,7,205625399
74,2,184809600
74,7,203373967
74,6,203373967
74,3,209001600
75,2,184809600
75,6,203373967
75,7,203373967
75,3,209001600
76,2,184809600
76,6,203373967
76,7,203373967
76,3,209001600
77,2,184809600
77,6,203373967
77,7,203373967
77,3,209001600
78,2,184809600
78,6,203373967
78,7,203373967
78,3,209001600
79,2,184809600
79,6,203373967
79,7,203373967
79,3,209001600
80,2,184809600
80,6,203373967
80,7,203373967
80,3,209001600
81,2,184809600
81,6,203373967
81,7,203373967
81,3,209001600
82,2,184809600
82,6,203373967
82,7,203373967
82,3,209001600
83,6,201561380
83,7,201561380
83,4,217814400
83,5,218505600
83,1,218764800
84,6,201561380
84,7,201561380
84,4,217814400
84,5,218505600
84,1,218764800
85,6,201561380
85,7,201561380
85,4,217814400
85,5,218505600
85,1,218764800
86,1,97459200
86,2,120009600
86,7,208808712
86,6,208808712
87,2,116467200
87,3,123292800
87,7,208635133
87,6,208635133
88,2,158112000
88,3,164160000
88,6,211249143
88,7,211249143
89,2,120268800
89,7,208547259
89,6,208547259
89,3,216086400
90,2,112492800
90,3,144979200
90,6,208908285
90,7,208908285
91,2,109036800
91,3,142732800
91,7,208806580
91,6,208806580
92,2,156297600
92,3,158457600
92,6,208709205
92,7,208709205
93,2,122860800
93,3,150681600
93,4,213926400
93,5,216345600
94,2,137635200
94,7,208635323
94,6,208635323
94,3,209779200
95,10,211539600
95,10,211539600
95,10,211539600
95,10,211543200
95,10,211543200
95,10,211546800
96,2,105148800
96,3,127958400
96,7,208738550
96,6,208738550
97,2,194313600
97,7,203702323
97,10,210448800
97,10,211550400
97,10,211582800
98,2,164246400
98,3,174009600
98,4,225590400
98,5,226368000
99,2,128563200
99,3,149644800
99,6,222643313
99,7,222643313
100,2,128563200
100,3,149644800
100,6,222643313
100,7,222643313
101,2,128563200
101,3,149644800
101,6,222643313
101,7,222643313
102,2,128563200
102,3,149644800
102,6,222643313
102,7,222643313
103,2,128563200
103,3,149644800
103,6,222643313
103,7,222643313
104,2,128563200
104,3,149644800
104,6,222643313
104,7,222643313
105,2,128563200
105,3,149644800
105,6,222643313
105,7,222643313
106,2,128563200
106,3,149644800
106,7,222643313
106,6,222643313
107,2,128563200
107,3,149644800
107,7,222643313
107,6,222643313
108,2,128563200
108,3,149644800
108,7,222643313
108,6,222643313
109,2,188524800
109,3,200534400
109,6,207998220
109,7,207998220
110,2,188524800
110,3,200534400
110,7,207998220
110,6,207998220
111,2,139708800
111,3,167961600
111,6,208573578
111,7,208573578
112,2,169430400
112,3,176860800
112,6,208217135
112,7,208217135
113,2,169430400
113,3,176860800
113,6,208217135
113,7,208217135
114,2,115862400
114,3,118454400
114,7,203430895
114,6,203430895
115,2,115862400
115,3,118454400
115,7,203430895
115,6,203430895
116,7,205806589
116,6,205806589
116,1,207619200
116,2,213753600
117,2,163036800
117,3,196646400
117,7,209741743
117,6,209741743
118,2,163036800
118,3,196646400
118,7,209741743
118,6,209741743
119,2,163036800
119,3,196646400
119,7,209741743
119,6,209741743
120,2,163036800
120,3,196646400
120,7,209741743
120,6,209741743
121,2,163036800
121,3,196646400
121,7,209741743
121,6,209741743
122,2,143942400
122,7,208897376
122,6,208897376
122,3,222652800
123,2,205804800
123,7,209150169
123,6,209150169
123,3,210729600
124,1,192585600
124,2,199152000
124,3,200793600
124,7,210107224
125,10,196887600
125,10,196891200
125,10,208292400
125,10,211510800
125,2,220233600
126,1,79920000
126,2,193708800
126,3,200534400
126,7,209162003
126,6,209162003
127,1,19872000
127,2,109555200
127,3,137894400
127,6,208558329
127,7,208558329
128,1,50630400
128,2,85708800
128,6,208724467
128,7,208724467
129,2,130464000
129,6,209698383
129,7,209698383
129,3,216086400
130,2,130464000
130,7,209698383
130,6,209698383
130,3,216086400
131,7,210007639
131,2,210643200
131,4,218160000
131,3,220320000
131,5,220320000
132,1,112838400
132,7,215523320
132,2,221702400
132,3,224035200
133,2,148003200
133,3,153014400
133,7,204065071
133,6,204065071
134,2,148003200
134,3,153014400
134,6,204065071
134,7,204065071
135,2,148003200
135,3,153014400
135,7,204065071
135,6,204065071
136,2,148003200
136,3,153014400
136,7,204065071
136,6,204065071
137,2,148003200
137,3,153014400
137,6,204065071
137,7,204065071
138,2,148003200
138,3,153014400
138,7,204065071
138,6,204065071
139,2,148003200
139,3,153014400
139,6,204065071
139,7,204065071
140,2,125366400
140,1,126662400
140,7,216077333
140,6,216077333
141,2,125366400
141,1,126662400
141,7,216077333
141,6,216077333
142,2,125366400
142,1,126662400
142,7,216077333
142,6,216077333
143,2,125366400
143,1,126662400
143,6,216077333
143,7,216077333
144,2,155520000
144,3,161049600
144,6,208380542
144,7,208380542
145,2,155520000
145,3,161049600
145,6,208380542
145,7,208380542
146,1,127872000
146,2,141868800
146,3,144028800
146,7,208524021
146,6,208524021
147,2,113270400
147,3,148780800
147,7,201475443
147,10,210362400
148,2,162345600
148,7,208635467
148,6,208635467
148,3,217123200
149,2,84844800
149,1,84931200
149,3,84931200
149,7,216121098
149,6,216121098
150,2,176256000
150,3,210816000
150,7,217294170
150,6,217294170
151,2,176256000
151,3,210816000
151,7,217294170
151,6,217294170
152,2,176256000
152,3,210816000
152,7,217294170
152,6,217294170
153,2,176256000
153,3,210816000
153,7,217294170
153,6,217294170
154,2,176256000
154,3,210816000
